2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=49785) -> addr(ip='172.64.146.73', port=443) - ESTABLISHED
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=50350) -> addr(ip='20.42.73.25', port=443) - ESTABLISHED
2025-01-12 03:04:38 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50315) -> addr(ip='2404:6800:4002:81c::2001', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50328) -> addr(ip='2404:6800:4002:816::200e', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=50369) -> addr(ip='18.66.63.108', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=50370) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=50362) -> addr(ip='18.66.63.108', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=50361) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=50358) -> addr(ip='18.66.63.108', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=49782) -> addr(ip='172.64.146.73', port=443) - ESTABLISHED
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=50355) -> addr(ip='18.66.63.108', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=50354) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=50352) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50320) -> addr(ip='2404:6800:4002:81f::2005', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=50351) -> addr(ip='52.29.15.27', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50372) -> addr(ip='2404:6800:4002:822::2003', port=443) - ESTABLISHED
2025-01-12 03:04:38 - addr(ip='::1', port=49672) -> addr(ip='::1', port=1521) - ESTABLISHED
2025-01-12 03:04:38 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50317) -> addr(ip='2404:6800:4002:81d::200a', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=50356) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50324) -> addr(ip='2404:6800:4002:81f::2005', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=50359) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50316) -> addr(ip='2404:6800:4002:815::200a', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=50357) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50325) -> addr(ip='2404:6800:4002:820::200e', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=50346) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=50367) -> addr(ip='18.66.63.108', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=50363) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50329) -> addr(ip='2404:6800:4002:822::2003', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=49689) -> addr(ip='2603:1040:a06:6::', port=443) - ESTABLISHED
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=50365) -> addr(ip='18.66.63.108', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50330) -> addr(ip='2404:6800:4002:81f::2005', port=443) - ESTABLISHED
2025-01-12 03:04:38 - addr(ip='::1', port=1521) -> addr(ip='::1', port=49672) - ESTABLISHED
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=50347) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=49769) -> addr(ip='3.6.211.252', port=443) - ESTABLISHED
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=50360) -> addr(ip='18.66.63.108', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50024) -> addr(ip='2404:6800:4003:c05::bc', port=5228) - ESTABLISHED
2025-01-12 03:04:38 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50322) -> addr(ip='2404:6800:4002:822::200a', port=443) - TIME_WAIT
2025-01-12 03:04:39 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50328) -> addr(ip='2404:6800:4002:816::200e', port=443) - TIME_WAIT
2025-01-12 03:04:39 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50329) -> addr(ip='2404:6800:4002:822::2003', port=443) - TIME_WAIT
2025-01-12 03:04:39 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50372) -> addr(ip='2404:6800:4002:822::2003', port=443) - ESTABLISHED
2025-01-12 03:05:03 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50373) -> addr(ip='2404:6800:4003:c04::6c', port=587) - ESTABLISHED
2025-01-12 03:05:04 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50373) -> addr(ip='2404:6800:4003:c04::6c', port=587) - ESTABLISHED
2025-01-12 03:05:13 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50373) -> addr(ip='2404:6800:4003:c04::6c', port=587) - TIME_WAIT
2025-01-12 03:05:14 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50373) -> addr(ip='2404:6800:4003:c04::6c', port=587) - TIME_WAIT
2025-01-12 03:05:18 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50375) -> addr(ip='2404:6800:4002:817::200a', port=443) - ESTABLISHED
2025-01-12 03:05:18 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50345) -> addr(ip='2404:6800:4002:824::200e', port=443) - TIME_WAIT
2025-01-12 03:05:18 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50374) -> addr(ip='2620:1ec:42::132', port=443) - ESTABLISHED
2025-01-12 03:05:19 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50374) -> addr(ip='2620:1ec:42::132', port=443) - ESTABLISHED
2025-01-12 03:05:19 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50375) -> addr(ip='2404:6800:4002:817::200a', port=443) - ESTABLISHED
2025-01-12 03:05:19 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50345) -> addr(ip='2404:6800:4002:824::200e', port=443) - TIME_WAIT
2025-01-12 03:05:53 - addr(ip='192.168.29.188', port=50350) -> addr(ip='20.42.73.25', port=443) - TIME_WAIT
2025-01-12 03:05:54 - addr(ip='192.168.29.188', port=50350) -> addr(ip='20.42.73.25', port=443) - TIME_WAIT
